species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Alistipes onderdonkii	0.000475761217948718	0.00026038778491969	0.000357319344661117	0.000181323662737987	0.000224773169048418	0.000218299938293884	0.000498575498575499	0.000435729847494554	0.000374497717588235
Alistipes putredinis	0.00104542267628205	0.000921001239252976	0.00118599612270498	0.000615657087435956	0.000459043795943952	0.000503545190997893	0.00118030118030118	0.000977735267548755	0.00122470875211288
Alistipes shahii	0.000738681891025641	0.000781163354759069	0.00105675295548713	0.000493369035821965	0.000373566675319906	0.000328905193803137	0.00107855107855108	0.000988362824804719	0.000789481674915739
Alistipes timonensis	0	0	0	0	0	0	0	0	0
Amedibacillus dolichus	0.000267412321034967	0.000204298682881717	0.000357319344661117	0.000483252738172555	0.000367833746587009	0.000297801573088154	0.000638115662349637	0.00065740384769605	0.000484981275816914
Aminipila butyrica	0.000202479731669863	0.000188425204204748	0.000236775520470178	0.000192291089868045	0.000208651124137193	0.000179179902565572	0.000179303921125095	0.000235818269968311	0.00017559232182819
Aminipila sp. JN-18	0	0	0	4.73659455150621e-05	3.70424793476929e-05	3.24165668963627e-05	0	0	0
Anaerobacterium chartisolvens	0	5.57735129582024e-05	0.000107167884320922	6.61929110740404e-05	8.35154269097017e-05	5.54061958960479e-05	0	0	0
Anaerobium acetethylicum	9.81316531740738e-05	5.62304268177333e-05	0	7.07817527741355e-05	6.99362854820079e-05	6.63811977169844e-05	0	0	0
Anaerobutyricum hallii	0.0149659155026477	0.0147109163786779	0.014916182022855	0.0140748262156815	0.0135901282699276	0.0140436368463804	0.0167067097886761	0.0172485253718741	0.0182694156801215
Anaerobutyricum soehngenii	0	0	0	0	0	0	0	0	0
Anaerocolumna cellulosilytica	0.000105995641030831	9.88699986160625e-05	9.64878576130608e-05	9.78028107764732e-05	0.000101429330830839	0.000114188746581093	0.000264393714162186	0	0.000200121375886732
Anaeromassilibacillus senegalensis	0.00692738273254427	0.00685003795698995	0.00745168361965072	0.0079207977838124	0.00838694659078078	0.00815808954287967	0.00653040554871974	0.00617676237327485	0.00739885847408025
Anaerostipes hadrus	0.0271678966936051	0.0268703606713265	0.0271692372653704	0.0271107964426866	0.0267763901002145	0.0276866886377227	0.02612581418159	0.0270143310952365	0.0262591505366458
Anaerotaenia torta	8.75165222514617e-05	9.71561036548986e-05	0.000115322499295801	9.54563486276506e-05	0.000132498770458739	8.10109502609114e-05	0	0	0
Anaerotignum aminivorans	0.000206561630962704	0.000138654390224293	0.00014022794447366	0.00017698321829488	0.000158478584199461	0.000130800275045799	0.000102920523978486	0.000172148036061258	0.000198029849521337
Anaerotignum faecicola	0.000774890595114146	0.000883040843225122	0.000955176059678776	0.00103840476306837	0.00119197138001633	0.000930924679638597	0.0010639254853106	0.000924453702965718	0.000864308404634004
